Q,k,l,kappa
0.014780383689087033,11.899999999999997,45.0,0.5
0.00886081809231497,11.199999999999998,45.0,0.5
0.000908454536278237,13.299999999999995,44.0,0.5
7.2636362902663e-5,13.999999999999995,44.0,0.5
0.012289383714248649,8.4,36.0,0.5
0.019678181619412306,7.000000000000001,36.0,0.5
0.006151484786348639,6.300000000000001,36.0,0.5
0.0010228080704766862,5.6000000000000005,36.0,0.5
0.002682151488059076,9.1,36.0,0.5
0.014599515004045303,7.700000000000001,35.0,0.5
0.023019454312934805,7.000000000000001,35.0,0.5
0.0002663939367030915,9.799999999999999,36.0,0.5
0.0015315050350353026,9.799999999999999,37.0,0.5
0.013156838250941027,6.300000000000001,35.0,0.5
0.014793646315215694,7.000000000000001,34.0,0.5
0.017089727100103768,6.300000000000001,34.0,0.5
0.007220888815950618,5.6000000000000005,34.0,0.5
0.003448161581331701,4.9,33.0,0.5
0.01097880796991103,5.6000000000000005,33.0,0.5
0.013101201887866648,6.300000000000001,33.0,0.5
0.005898545394964188,7.000000000000001,33.0,0.5
0.001179100998190899,7.700000000000001,33.0,0.5
0.005795100951564637,6.300000000000001,32.0,0.5
0.010281252421401491,5.6000000000000005,32.0,0.5
0.00620602013933313,4.9,32.0,0.5
0.005046545403570249,7.700000000000001,34.0,0.5
0.0008173232240674422,8.4,34.0,0.5
0.00011741414022814,8.4,33.0,0.5
6.560605994337314e-5,9.1,34.0,0.5
0.004084909049647384,8.4,35.0,0.5
0.003132939362293542,5.6000000000000005,35.0,0.5
8.011111030190798e-5,12.599999999999996,41.0,0.5
0.00034511110762514035,7.000000000000001,40.0,0.5
0.007170363563935722,12.599999999999996,47.0,0.5
0.0074875352779036845,13.299999999999995,47.0,0.5
0.003027373706794205,11.199999999999998,46.0,0.5
0.0028276161330543824,13.999999999999995,47.0,0.5
0.0004588686822336497,14.699999999999994,47.0,0.5
0.00312335350380451,12.599999999999996,48.0,0.5
0.005839656506670136,13.299999999999995,48.0,0.5
0.00312830299870401,11.899999999999997,47.0,0.5
0.000949252515664116,11.899999999999997,48.0,0.5
0.0008417373652349761,11.199999999999998,47.0,0.5
0.004951616111599837,13.999999999999995,48.0,0.5
0.0015592525095025,14.699999999999994,48.0,0.5
0.00021991918969778597,11.199999999999998,48.0,0.5
4.6494949025303546e-5,10.499999999999998,48.0,0.5
0.0001536262610744822,11.899999999999997,40.0,0.5
8.248484765166821e-5,7.000000000000001,41.0,0.5
8.262626179165392e-6,12.599999999999996,40.0,0.5
0.0002453131288352209,8.4,43.0,0.5
0.002904494920156617,10.499999999999998,45.0,0.5
2.0171716967962454e-5,13.299999999999995,42.0,0.5
0.0004205858543375166,9.1,44.0,0.5
0.0001857777759012346,10.499999999999998,47.0,0.5
4.202020159575554e-5,9.799999999999999,47.0,0.5
0.00024356565410539743,15.399999999999993,48.0,0.5
1.4949494798489952e-5,16.099999999999994,48.0,0.5
0.0028172019917454346,14.699999999999994,49.0,0.5
0.0046466969227606375,13.999999999999995,49.0,0.5
0.0031291110795039286,13.299999999999995,49.0,0.5
0.0014514646318033876,15.399999999999993,50.0,0.5
0.0032166969372050816,14.699999999999994,50.0,0.5
0.002836696941043465,13.999999999999995,50.0,0.5
0.0007016767605891236,15.399999999999993,49.0,0.5
0.0011312121097857362,13.299999999999995,50.0,0.5
0.00029805050203989393,12.599999999999996,50.0,0.5
0.0002781717143619019,16.099999999999994,50.0,0.5
2.237373714774003e-5,16.799999999999994,50.0,0.5
0.0021420807864436283,14.699999999999994,51.0,0.5
0.0019080403847672688,15.399999999999993,51.0,0.5
0.0017595454367722683,15.399999999999993,52.0,0.5
0.0010416666561447812,14.699999999999994,52.0,0.5
0.0011983333212289564,16.099999999999994,52.0,0.5
0.0008769494860914193,15.399999999999993,53.0,0.5
0.000337333329925926,14.699999999999994,53.0,0.5
8.756565568115499e-5,13.999999999999995,53.0,0.5
2.001010080797878e-5,13.299999999999995,53.0,0.5
0.001222939381586471,16.099999999999994,53.0,0.5
0.0006628484781530456,16.799999999999994,53.0,0.5
9.202020109070504e-5,14.699999999999994,54.0,0.5
0.0002906262596906438,15.399999999999993,54.0,0.5
0.00011660605942822162,15.399999999999993,55.0,0.5
0.0002971616131599837,16.099999999999994,55.0,0.5
0.0005068282777088052,16.799999999999994,55.0,0.5
0.0004743030255120906,17.499999999999993,55.0,0.5
0.00013878787738598103,18.199999999999992,55.0,0.5
0.000566646458922763,16.099999999999994,54.0,0.5
0.000634353528945924,16.799999999999994,54.0,0.5
0.00029091918898061425,17.499999999999993,54.0,0.5
5.476767621446792e-5,18.199999999999992,54.0,0.5
0.0003759696931720233,13.999999999999995,52.0,0.5
0.00010932323121895727,13.299999999999995,52.0,0.5
